#,Name,Price
83890,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Уничтожитель документов Digitus DA-81605 (7л., P-1, перекрестная резка, бумага/кредитки/CD/DVD)",0
83222,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Модуль оптический (трансивер) EDGE (BIDI-10G-SFP-10AI-UN) Tx/Rx 1270/1330nm, 1.25-10.31 Gbps, Max. 10km",0
83221,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Модуль оптический (трансивер) EDGE (BIDI-10G-SFP-10BI-UN) Tx/Rx 1330/1270nm, 1.25-10.31 Gbps, Max. 10km",0
83220,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Модуль оптический (трансивер) EDGE (BIDI-1.25G-SFP-3-BDS-MT) SC, Tx/Rx 1550/1310nm, 1.063-1.25Gbps, Max. 3km",0
83219,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Модуль оптический (трансивер) EDGE (BIDI-1.25G-SFP-3-ADS-MT) SC, Tx/Rx 1310/1550nm, 1.063-1.25Gbps, Max. 3km",0
82335,КОМПЬЮТЕРНАЯ ТЕХНИКА,PATCH CORD FTP CAT.6 2м. (PP6-2M/B) blue,0
22574,КОМПЬЮТЕРНАЯ ТЕХНИКА,Колпачек изолирующий на RJ-45 коннектор (BT5BK/5) черный  1шт.,1
45821,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель ETHERNET UTP КПВ-ВП (16) CAT.3 (1*2*0,48) 24 AWG PVC  (1м)","1,7"
26531,КОМПЬЮТЕРНАЯ ТЕХНИКА,RJ-12 коннектор телефонный MP-6P4C/5 (Gold plated 15u'),"1,7"
52313,КОМПЬЮТЕРНАЯ ТЕХНИКА,RJ-45 коннектор UTP LogicPower,"2,3"
59350,КОМПЬЮТЕРНАЯ ТЕХНИКА,"RJ-45 коннектор (PLUG3UP6) UTP, 8P8C, 6 микродюймов, золоченые контакты (1шт.)","2,5"
219,КОМПЬЮТЕРНАЯ ТЕХНИКА,Кабель телефонный  2-парный TL-4 /TC1000S  (1м),"2,5"
54522,КОМПЬЮТЕРНАЯ ТЕХНИКА,"RJ-45 коннектор UTP , золоченые контакты (LC-8P8C-001) 30 микродюймов, золоченые контакты 1 шт.","2,6"
13257,КОМПЬЮТЕРНАЯ ТЕХНИКА,Роз. коробка внешняя 1х портовая NCA-SMB10 ( (для  модуля NCA-KJ),"3,3"
20488,КОМПЬЮТЕРНАЯ ТЕХНИКА,Кабель ETHERNET UTP 4P CAT5E   CCA     (1м),"3,5"
74270,КОМПЬЮТЕРНАЯ ТЕХНИКА,DIN-рейка 75мм перфорированная  adr-7.5,4
77876,КОМПЬЮТЕРНАЯ ТЕХНИКА,Элемент питания everActive BLUE Alkaline 1.5V LR6 AA 1шт. (ALEV6S2BK),"4,8"
77875,КОМПЬЮТЕРНАЯ ТЕХНИКА,Элемент питания everActive BLUE Alkaline 1.5V LR03 AAA 1шт. (ALEV03S2BK),"4,8"
284,КОМПЬЮТЕРНАЯ ТЕХНИКА,Переходник для мыши COM в PS/2 (A-235),5
8683,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель MINI USB2.0 (A - MINI USB 4PM)1,8м (CC-USB2-AM4P-6)",5
28617,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Элемент питания AAA (LR03) 1,5V  Verbatim Premium Alkaline  1шт.","5,5"
28616,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Элемент питания AA (LR6) 1,5V  Verbatim Premium Alkaline  1шт.","5,8"
77884,КОМПЬЮТЕРНАЯ ТЕХНИКА,Элемент питания everActive INDUSTRIAL Alkaline 1.5V LR6 AA 1шт. (EVLR6S2IK),"5,8"
77708,КОМПЬЮТЕРНАЯ ТЕХНИКА,Элемент питания everActive INDUSTRIAL Alkaline 1.5V LR03 AAA 1шт. (EVLR03S2IK),"5,8"
12819,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Диск CD-R 700MB VERBATIM, 52X (1шт) EXTRA PROTECTION(43411/43351/43437)","6,6"
76883,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Элемент питания (CR2025) Green Cell Lithium (XCR04) 3V, 160mAh 1шт","7,3"
59128,КОМПЬЮТЕРНАЯ ТЕХНИКА,Элемент питания (CR1220) 3V Gembird Lithium battery (EG-BA-CR1220-01) 2шт/уп.,"7,3"
1488,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель ETHERNET UTP 4P CAT5E (медь, UPC-5004E-SO)      (1м)","7,3"
4975,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Диск DVD+R VERBATIM 16X 4,7GB  (1шт.)  (43550/43551/43500/43498/43488)","7,4"
12607,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Диск DVD-R VERBATIM 16X 4,7GB (1шт.)  (43549/43548/43523/43522)","7,4"
73162,КОМПЬЮТЕРНАЯ ТЕХНИКА,Кабель ETHERNET UTP 4P CAT5E медь (1м) Orange (LANBERG LCU5-12CU-0305-O),"7,8"
59131,КОМПЬЮТЕРНАЯ ТЕХНИКА,Элемент питания (CR2016) 3V Gembird Lithium battery (EG-BA-CR2016-01) 2шт/уп.,"7,9"
39332,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,0.25м. (PP12-0.25M/Y) желтый","7,9"
39312,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,0.25м. (PP12-0.25M/BK) черн.","7,9"
39331,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,0.25м. (PP12-0.25M/R) красный","7,9"
39313,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,0.25м (PP12-0.25M/B) голубой","7,9"
39316,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,0.25м. (PP12-0.25M/O) оранжевый","7,9"
8187,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Удлинитель (SVHS plug)-(SVHS),      1,8м","7,9"
6144,КОМПЬЮТЕРНАЯ ТЕХНИКА,Розетка внутр.со шторкой 2п     2013A-F2,"7,9"
54629,КОМПЬЮТЕРНАЯ ТЕХНИКА,RJ-11 коннектор телефонный Maclean MCTV-665 (6p4c),"8,3"
